City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bocana de paiwas,12.7857,-85.1227,25.24,91,100,4.42,NI,1722553963
1,chos malal,-37.3781,-70.2709,11.43,45,100,7.23,AR,1722553964
2,arica,-18.475,-70.3042,18.75,77,0,3.09,CL,1722553609
3,haiku-pauwela,20.9219,-156.3051,28.98,62,0,10.29,US,1722553966
4,gornozavodsk,58.3758,58.3211,12.43,98,99,1.04,RU,1722553968
5,port lincoln,-34.7333,135.8667,11.61,45,92,7.33,AU,1722553969
6,ushuaia,-54.8,-68.3,0.87,95,93,1.02,AR,1722553970
7,grytviken,-54.2811,-36.5092,-3.43,74,96,3.74,GS,1722553971
8,woolgoolga,-30.1106,153.2007,15.58,59,5,8.17,AU,1722553972
9,isafjordur,66.0755,-23.124,5.6,97,100,6.74,IS,1722553973
10,afaahiti,-17.75,-149.2833,24.93,63,17,5.62,PF,1722553975
11,sardinata,8.0829,-72.8007,31.82,60,100,1.7,CO,1722553976
12,chibougamau,49.9168,-74.3659,23.79,73,75,2.06,CA,1722553977
13,cockburn town,21.4612,-71.1419,28.98,79,100,6.17,TC,1722553978
14,port-aux-francais,-49.35,70.2167,4.72,93,100,17.05,TF,1722553979
15,ostersund,63.1792,14.6357,11.25,82,100,4.63,SE,1722553982
16,selfoss,63.9331,-20.9971,9.98,80,84,2.23,IS,1722553983
17,waitangi,-43.9535,-176.5597,8.23,80,58,3.13,NZ,1722553984
18,adamstown,-25.066,-130.1015,18.76,93,100,6.38,PN,1722553985
19,klyuchi,52.2667,79.1667,21.78,49,44,2.71,RU,1722553986
20,hammerfest,70.6634,23.6821,13.25,94,100,1.54,NO,1722553988
21,invercargill,-46.4,168.35,3.9,94,48,0.89,NZ,1722553989
22,talnakh,69.4865,88.3972,18.96,52,100,1.87,RU,1722553990
23,port mathurin,-19.6833,63.4167,22.28,77,5,4.55,MU,1722553991
24,bredasdorp,-34.5322,20.0403,8.06,90,25,2.34,ZA,1722553992
25,segezha,63.7415,34.3222,11.54,96,74,2.99,RU,1722553993
26,longyearbyen,78.2186,15.6401,11.91,76,0,0.0,SJ,1722553995
27,ziro,27.6333,93.8333,16.1,98,53,0.57,IN,1722553996
28,boone,39.0334,-92.3335,32.51,46,1,5.64,US,1722553997
29,carnarvon,-24.8667,113.6333,15.51,63,70,7.37,AU,1722553872
30,avarua,-21.2078,-159.775,23.03,53,100,2.06,CK,1722553999
31,olonkinbyen,70.9221,-8.7187,5.28,97,100,8.24,SJ,1722554000
32,praia da vitoria,38.7333,-27.0667,23.75,94,20,1.08,PT,1722554002
33,yellowknife,62.456,-114.3525,15.23,67,57,5.36,CA,1722553777
34,piacabucu,-10.4056,-36.4344,22.7,86,4,4.54,BR,1722554004
35,tofol,5.3248,163.0078,30.88,74,75,2.57,FM,1722554005
36,newman,37.3138,-121.0208,38.13,9,99,0.78,US,1722554006
37,ilulissat,69.2167,-51.1,3.01,93,100,1.03,GL,1722554008
38,bonthe,7.5264,-12.505,23.96,97,100,4.03,SL,1722554009
39,kaga bandoro,6.9896,19.1874,22.32,89,67,1.48,CF,1722554010
40,brotton,54.5689,-0.9365,17.02,89,44,3.41,GB,1722554011
41,palikir - national government center,6.9248,158.1611,31.41,66,75,2.57,FM,1722554012
42,alofi,-19.0595,-169.9187,24.94,65,75,5.66,NU,1722554013
43,anadyr,64.75,177.4833,6.28,86,75,9.83,RU,1722553746
44,hilo,19.7297,-155.09,27.85,72,75,3.13,US,1722554016
45,thompson,55.7435,-97.8558,23.09,46,40,9.26,CA,1722554017
46,nova vicosa,-17.8919,-39.3719,23.42,73,3,7.31,BR,1722554018
47,edinburgh of the seven seas,-37.0676,-12.3116,11.86,87,55,13.82,SH,1722554019
48,west island,-12.1568,96.8225,26.99,74,100,4.63,CC,1722554020
49,bethel,41.3712,-73.414,30.56,71,0,2.06,US,1722553899
50,wailua homesteads,22.0669,-159.378,27.44,66,0,4.63,US,1722554023
51,sao vicente,-23.9631,-46.3919,20.71,62,3,2.24,BR,1722553918
52,mejit,10.2753,170.8646,27.67,78,30,2.96,MH,1722554025
53,whitehorse,60.7161,-135.0538,16.68,59,75,3.09,CA,1722554026
54,coquimbo,-29.9533,-71.3436,13.85,85,100,6.69,CL,1722553899
55,tiksi,71.6872,128.8694,4.54,65,100,1.14,RU,1722554029
56,tamandare,-8.7597,-35.1047,24.12,75,0,5.91,BR,1722554030
57,general conesa,-40.1,-64.4333,16.1,60,100,4.6,AR,1722554031
58,jianshui,23.6363,102.8264,19.12,98,97,1.81,CN,1722554032
59,margaret river,-33.95,115.0667,11.29,60,99,1.12,AU,1722554033
60,san patricio,28.017,-97.5169,33.4,58,10,6.26,US,1722554034
61,arraial do cabo,-22.9661,-42.0278,21.75,73,2,8.09,BR,1722554036
62,puerto baquerizo moreno,-0.9,-89.6,20.15,84,31,5.27,EC,1722553623
63,port elizabeth,-33.918,25.5701,12.4,90,56,0.89,ZA,1722553867
64,kumagunnam,13.1551,10.6342,25.01,73,100,2.57,NG,1722554039
65,blackmans bay,-43.0167,147.3167,4.29,95,57,3.46,AU,1722554040
66,sumbe,-11.2061,13.8437,19.56,86,56,2.76,AO,1722554041
67,zhanaozen,43.3,52.8,23.96,38,4,3.15,KZ,1722554043
68,saint-pierre,-21.3393,55.4781,20.87,52,0,3.6,RE,1722554044
69,ust-nera,64.5667,143.2,4.87,93,99,3.33,RU,1722554045
70,jayapura,-2.5333,140.7,27.66,82,62,1.98,ID,1722554046
71,antofagasta,-23.65,-70.4,15.6,86,3,0.81,CL,1722553563
72,laborde,-33.1532,-62.8566,23.11,47,100,4.42,AR,1722554049
73,prineville,44.2999,-120.8345,39.71,18,0,4.63,US,1722554050
74,puerto natales,-51.7236,-72.4875,2.13,98,100,0.41,CL,1722554051
75,iqaluit,63.7506,-68.5145,5.85,65,75,3.6,CA,1722554052
76,nar'yan-mar,67.6713,53.087,14.28,97,63,4.33,RU,1722553796
77,iskateley,67.6803,53.1512,14.32,96,61,4.3,RU,1722554054
78,deqen,29.9618,90.7188,7.54,87,68,2.2,CN,1722554056
79,tegueste,28.5167,-16.3167,21.48,85,75,10.8,ES,1722554057
80,pacasmayo,-7.4006,-79.5714,18.08,82,16,5.98,PE,1722554059
81,nizhneudinsk,54.9076,99.0276,14.36,81,3,1.03,RU,1722554060
82,ilebo,-4.3167,20.5833,24.16,39,27,0.33,CD,1722554062
83,bikenibeu village,1.3673,173.1241,30.98,70,20,2.57,KI,1722554063
84,jamestown,42.097,-79.2353,28.34,73,0,4.63,US,1722554001
85,recreo,-29.2818,-65.061,20.47,44,100,4.34,AR,1722554066
86,papatowai,-46.5619,169.4708,7.83,70,91,1.17,NZ,1722554067
87,garissa,-0.4536,39.6401,22.9,76,52,8.09,KE,1722554069
88,hithadhoo,-0.6,73.0833,28.11,78,100,3.06,MV,1722554070
89,malvan,16.0667,73.4667,26.68,87,100,8.26,IN,1722554071
90,pontes e lacerda,-15.2261,-59.3353,26.92,30,1,1.09,BR,1722554001
91,yoloten,37.2989,62.3597,27.74,21,0,4.44,TM,1722554074
92,georgetown,5.4112,100.3354,27.75,74,20,1.54,MY,1722554076
93,taoudenni,22.6783,-3.9836,39.24,21,20,8.44,ML,1722554077
94,touros,-5.1989,-35.4608,23.76,76,3,6.44,BR,1722554078
95,lebu,-37.6167,-73.65,10.37,98,100,3.82,CL,1722554079
96,ushtobe,45.2514,77.9838,25.44,20,60,2.96,KZ,1722554080
97,manaure,11.7751,-72.4445,29.55,70,99,5.17,CO,1722554082
98,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.03,GF,1722554083
99,beledweyne,4.7358,45.2036,23.86,66,93,8.96,SO,1722554084
100,dunedin,-45.8742,170.5036,8.78,75,63,1.79,NZ,1722554085
101,kone,-21.0595,164.8658,17.52,88,99,0.94,NC,1722554086
102,lambarene,-0.7001,10.2406,22.34,78,32,2.31,GA,1722554087
103,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,78,75,3.0,RU,1722554089
104,hiratacho,35.4333,132.8167,30.01,79,20,0.51,JP,1722554090
105,kodiak,57.79,-152.4072,19.73,45,0,5.66,US,1722554091
106,college,64.8569,-147.8028,14.99,71,100,8.23,US,1722554015
107,kakonko,-3.2828,30.9642,18.51,41,67,1.05,TZ,1722554093
108,fisterra,42.9049,-9.2629,18.9,91,0,5.89,ES,1722554094
109,saldanha,-33.0117,17.9442,12.21,85,23,4.16,ZA,1722554096
110,santana,-0.0583,-51.1817,28.1,74,0,3.09,BR,1722554097
111,zalingei,12.9096,23.4741,22.15,87,100,2.77,SD,1722554098
